iter	MAE
411	8.025861605
412	8.025861605
413	8.025861589
414	8.025861573
415	8.025861558
416	8.025861544
417	8.02586153
418	8.025861516
419	8.025861503
420	8.02586149
421	8.025861478
422	8.025861477
423	8.025861477
424	8.025861465
425	8.025861453
426	8.025861442
427	8.025861431
428	8.02586142
429	8.02586141
430	8.0258614
431	8.02586139
432	8.02586138
433	8.025861371
434	8.025861362
435	8.025861354
436	8.025861345
437	8.025861337
438	8.025861336
439	8.025861329
440	8.025861321
441	8.025861314
442	8.025861306
443	8.025861299
444	8.025861299
445	8.025861292
446	8.025861286
447	8.025861279
448	8.025861279
449	8.025861279
450	8.025861272
451	8.025861267
452	8.025861261
453	8.025861255
454	8.02586125
455	8.025861245
456	8.025861239
457	8.025861235
458	8.02586123
459	8.025861225
460	8.025861221
461	8.025861216
462	8.025861216
463	8.025861212
464	8.025861208
465	8.025861204
466	8.025861203
467	8.025861199
468	8.025861199
469	8.025861195
470	8.025861192
471	8.025861188
472	8.025861185
473	8.025861181
474	8.025861178
475	8.025861175
476	8.025861172
477	8.025861169
478	8.025861166
479	8.025861164
480	8.025861161
481	8.025861161
482	8.025861158
483	8.025861155
484	8.025861153
485	8.025861151
486	8.025861148
487	8.025861146
488	8.025861144
489	8.025861142
490	8.02586114
491	8.025861138
492	8.025861136
493	8.025861134
494	8.025861132
495	8.025861131
496	8.025861129
497	8.025861127
498	8.025861126
499	8.025861124
500	8.025861123
501	8.025861121
502	8.02586112
503	8.025861119
504	8.025861117
505	8.025861117
506	8.025861116
507	8.025861116
508	8.025861115
509	8.025861113
510	8.025861112
511	8.025861111
512	8.02586111
513	8.025861109
514	8.025861108
515	8.025861107
516	8.025861106
517	8.025861105
518	8.025861104
519	8.025861104
520	8.025861103
521	8.025861102
522	8.025861101
523	8.025861101
524	8.0258611
525	8.025861099
526	8.025861098
527	8.025861098
528	8.025861097
529	8.025861096
530	8.025861096
531	8.025861095
532	8.025861094
533	8.025861094
534	8.025861093
535	8.025861093
536	8.025861093
537	8.025861093
538	8.025861092
539	8.025861091
540	8.025861091
541	8.02586109
542	8.02586109
543	8.02586109
544	8.025861089
545	8.025861089
546	8.025861088
547	8.025861088
548	8.025861087
549	8.025861087
550	8.025861087
551	8.025861086
552	8.025861086
553	8.025861086
554	8.025861086
555	8.025861085
556	8.025861085
557	8.025861085
558	8.025861085
559	8.025861084
560	8.025861084
561	8.025861084
562	8.025861083
563	8.025861083
564	8.025861083
565	8.025861083
566	8.025861082
567	8.025861082
568	8.025861082
569	8.025861082
570	8.025861082
571	8.025861082
572	8.025861081
573	8.025861081
574	8.025861081
575	8.025861081
576	8.025861081
577	8.02586108
578	8.02586108
579	8.02586108
580	8.02586108
581	8.02586108
582	8.02586108
583	8.02586108
584	8.025861079
585	8.025861079
586	8.025861079
587	8.025861079
588	8.025861079
589	8.025861079
590	8.025861079
591	8.025861079
592	8.025861078
593	8.025861078
594	8.025861078
595	8.025861078
596	8.025861078
597	8.025861078
598	8.025861078
599	8.025861078
600	8.025861078
601	8.025861078
602	8.025861078
603	8.025861077
604	8.025861077
605	8.025861077
606	8.025861077
607	8.025861077
608	8.025861077
609	8.025861077
610	8.025861077
611	8.025861077
612	8.025861077
613	8.025861077
614	8.025861077
615	8.025861077
616	8.025861077
617	8.025861077
618	8.025861077
619	8.025861076
620	8.025861076
621	8.025861076
622	8.025861076
623	8.025861076
624	8.025861076
625	8.025861076
626	8.025861076
627	8.025861076
628	8.025861076
629	8.025861076
630	8.025861076
631	8.025861076
632	8.025861076
633	8.025861076
634	8.025861076
635	8.025861076
636	8.025861076
637	8.025861076
638	8.025861076
639	8.025861076
640	8.025861076
641	8.025861076
642	8.025861076
643	8.025861076
644	8.025861076
645	8.025861076
646	8.025861076
647	8.025861076
648	8.025861076
649	8.025861076
650	8.025861076
651	8.025861076
652	8.025861076
653	8.025861076
654	8.025861076
655	8.025861076
656	8.025861076
657	8.025861076
658	8.025861076
659	8.025861076
660	8.025861076
661	8.025861076
662	8.025861076
663	8.025861076
664	8.025861076
665	8.025861076
666	8.025861076
667	8.025861076
668	8.025861076
669	8.025861076
670	8.025861076
671	8.025861076
672	8.025861076
673	8.025861076
674	8.025861076
675	8.025861076
676	8.025861076
677	8.025861076
678	8.025861076
679	8.025861076
680	8.025861076
681	8.025861076
682	8.025861076
683	8.025861076
684	8.025861076
685	8.025861076
686	8.025861076
687	8.025861076
688	8.025861076
689	8.025861076
690	8.025861076
691	8.025861076
692	8.025861076
693	8.025861076
694	8.025861076
695	8.025861076
696	8.025861076
697	8.025861076
698	8.025861076
699	8.025861076
700	8.025861076
701	8.025861076
702	8.025861076
703	8.025861076
704	8.025861076
705	8.025861076
706	8.025861076
707	8.025861076
708	8.025861076
709	8.025861076
710	8.025861076
711	8.025861076
712	8.025861076
713	8.025861076
714	8.025861076
715	8.025861076
716	8.025861076
717	8.025861076
718	8.025861076
719	8.025861076
720	8.025861076
721	8.025861076
722	8.025861076
723	8.025861076
724	8.025861076
725	8.025861076
726	8.025861076
727	8.025861076
728	8.025861076
729	8.025861076
730	8.025861076
731	8.025861076
732	8.025861076
733	8.025861076
734	8.025861076
735	8.025861076
736	8.025861076
737	8.025861076
738	8.025861076
739	8.025861076
740	8.025861076
741	8.025861076
742	8.025861076
743	8.025861076
744	8.025861076
745	8.025861076
746	8.025861076
747	8.025861076
748	8.025861076
749	8.025861076
750	8.025861076
751	8.025861076
752	8.025861076
753	8.025861076
754	8.025861076
755	8.025861076
756	8.025861076
757	8.025861076
758	8.025861076
759	8.025861076
760	8.025861076
761	8.025861076
762	8.025861076
763	8.025861076
764	8.025861076
765	8.025861076
766	8.025861076
767	8.025861076
768	8.025861076
769	8.025861076
770	8.025861076
771	8.025861076
772	8.025861076
773	8.025861076
774	8.025861076
775	8.025861076
776	8.025861076
777	8.025861076
778	8.025861076
779	8.025861076
780	8.025861076
781	8.025861076
782	8.025861076
783	8.025861076
784	8.025861076
785	8.025861076
786	8.025861076
787	8.025861076
788	8.025861076
789	8.025861076
790	8.025861076
791	8.025861076
792	8.025861076
793	8.025861076
794	8.025861076
795	8.025861076
796	8.025861076
797	8.025861076
798	8.025861076
799	8.025861076
800	8.025861076
801	8.025861076
802	8.025861076
803	8.025861076
804	8.025861076
805	8.025861076
806	8.025861076
807	8.025861076
808	8.025861076
809	8.025861076
810	8.025861076
811	8.025861076
812	8.025861076
813	8.025861076
814	8.025861076
815	8.025861076
816	8.025861076
817	8.025861076
818	8.025861076
819	8.025861076
820	8.025861076
821	8.025861076
822	8.025861076
823	8.025861076
824	8.025861076
825	8.025861076
826	8.025861076
827	8.025861076
828	8.025861076
829	8.025861076
830	8.025861076
831	8.025861076
832	8.025861076
833	8.025861076
834	8.025861076
835	8.025861076
836	8.025861076
837	8.025861076
838	8.025861076
839	8.025861076
840	8.025861076
841	8.025861076
842	8.025861076
843	8.025861076
844	8.025861076
845	8.025861076
846	8.025861076
847	8.025861076
848	8.025861076
849	8.025861076
850	8.025861076
851	8.025861076
852	8.025861076
853	8.025861076
854	8.025861076
855	8.025861076
856	8.025861076
857	8.025861076
858	8.025861076
859	8.025861076
860	8.025861076
861	8.025861076
862	8.025861076
863	8.025861076
864	8.025861076
865	8.025861076
866	8.025861076
867	8.025861076
868	8.025861076
869	8.025861076
870	8.025861076
871	8.025861076
872	8.025861076
873	8.025861076
874	8.025861076
875	8.025861076
876	8.025861076
877	8.025861076
878	8.025861076
879	8.025861076
880	8.025861076
881	8.025861076
882	8.025861076
883	8.025861076
884	8.025861076
885	8.025861076
886	8.025861076
887	8.025861076
888	8.025861076
889	8.025861076
890	8.025861076
891	8.025861076
892	8.025861076
893	8.025861076
894	8.025861076
895	8.025861076
896	8.025861076
897	8.025861076
898	8.025861076
899	8.025861076
900	8.025861076
901	8.025861076
902	8.025861076
903	8.025861076
904	8.025861076
905	8.025861076
906	8.025861076
907	8.025861076
908	8.025861076
909	8.025861076
910	8.025861076
911	8.025861076
912	8.025861076
913	8.025861076
914	8.025861076
915	8.025861076
916	8.025861076
917	8.025861076
918	8.025861076
919	8.025861076
920	8.025861076
921	8.025861076
922	8.025861076
923	8.025861076
924	8.025861076
925	8.025861076
926	8.025861076
927	8.025861076
928	8.025861076
929	8.025861076
930	8.025861076
931	8.025861076
932	8.025861076
933	8.025861076
934	8.025861076
935	8.025861076
936	8.025861076
937	8.025861076
938	8.025861076
939	8.025861076
940	8.025861076
941	8.025861076
942	8.025861076
943	8.025861076
944	8.025861076
945	8.025861076
946	8.025861076
947	8.025861076
948	8.025861076
949	8.025861076
950	8.025861076
951	8.025861076
952	8.025861076
953	8.025861076
954	8.025861076
955	8.025861076
956	8.025861076
957	8.025861076
958	8.025861076
959	8.025861076
960	8.025861076
961	8.025861076
962	8.025861076
963	8.025861076
964	8.025861076
965	8.025861076
966	8.025861076
967	8.025861076
968	8.025861076
969	8.025861076
970	8.025861076
971	8.025861076
972	8.025861076
973	8.025861076
974	8.025861076
975	8.025861076
976	8.025861076
977	8.025861076
978	8.025861076
979	8.025861076
980	8.025861076
981	8.025861076
982	8.025861076
983	8.025861076
984	8.025861076
985	8.025861076
986	8.025861076
987	8.025861076
988	8.025861076
989	8.025861076
990	8.025861076
991	8.025861076
992	8.025861076
993	8.025861076
994	8.025861076
995	8.025861076
996	8.025861076
997	8.025861076
998	8.025861076
999	8.025861076
